Martin packaging metrics,Tue, 29 Nov 2022 21:42:41 WET
Package,A,Ca,Ce,D,I
biz.ganttproject.impex.csv,0.18,4,431,0.17,0.99
net.sourceforge.ganttproject,0.17,"1,875","2,733",0.24,0.57
net.sourceforge.ganttproject.action,0.33,481,123,0.46,0.22
net.sourceforge.ganttproject.action.edit,0.00,14,158,0.08,0.92
net.sourceforge.ganttproject.action.help,0.00,3,71,0.04,0.70
net.sourceforge.ganttproject.action.project,0.07,7,208,0.03,0.97
net.sourceforge.ganttproject.action.resource,0.10,31,206,0.03,0.87
net.sourceforge.ganttproject.action.scroll,0.00,6,62,0.09,0.91
net.sourceforge.ganttproject.action.task,0.20,27,404,0.14,0.94
net.sourceforge.ganttproject.action.view,0.00,6,48,0.11,0.88
net.sourceforge.ganttproject.action.zoom,0.00,12,21,0.36,0.64
net.sourceforge.ganttproject.application,0.00,0,12,0.00,1.00
net.sourceforge.ganttproject.calendar,0.12,10,225,0.08,0.93
net.sourceforge.ganttproject.chart,0.34,429,"1,172",0.07,0.71
net.sourceforge.ganttproject.chart.export,0.25,54,78,0.16,0.59
net.sourceforge.ganttproject.chart.gantt,0.00,34,471,0.07,0.93
net.sourceforge.ganttproject.chart.item,0.00,71,8,0.90,0.10
net.sourceforge.ganttproject.chart.mouse,0.38,35,250,0.25,0.87
net.sourceforge.ganttproject.chart.overview,0.00,77,87,0.47,0.52
net.sourceforge.ganttproject.client,0.00,7,91,0.07,0.93
net.sourceforge.ganttproject.document,0.37,220,296,0.06,0.52
net.sourceforge.ganttproject.document.webdav,0.11,15,322,0.06,0.95
net.sourceforge.ganttproject.excel,0.00,3,9,0.25,0.75
net.sourceforge.ganttproject.export,0.25,84,305,0.03,0.83
net.sourceforge.ganttproject.filter,0.00,9,0,1.00,0.00
net.sourceforge.ganttproject.font,0.00,14,0,1.00,0.00
net.sourceforge.ganttproject.gui,0.27,"1,295",851,0.33,0.38
net.sourceforge.ganttproject.gui.about,0.00,6,42,0.12,0.88
net.sourceforge.ganttproject.gui.options,0.22,214,646,0.03,0.80
net.sourceforge.ganttproject.gui.options.model,1.00,42,55,0.57,0.57
net.sourceforge.ganttproject.gui.projectwizard,0.15,27,204,0.04,0.86
net.sourceforge.ganttproject.gui.scrolling,0.67,14,3,0.16,0.18
net.sourceforge.ganttproject.gui.tableView,0.00,4,188,0.02,0.96
net.sourceforge.ganttproject.gui.taskproperties,0.17,29,409,0.10,0.93
net.sourceforge.ganttproject.gui.view,0.50,44,45,0.01,0.51
net.sourceforge.ganttproject.gui.window,0.00,4,6,0.40,0.56
net.sourceforge.ganttproject.gui.zoom,0.25,62,10,0.61,0.06
net.sourceforge.ganttproject.importer,0.27,53,244,0.09,0.82
net.sourceforge.ganttproject.io,0.06,242,460,0.29,0.64
net.sourceforge.ganttproject.language,0.29,937,29,0.68,0.03
net.sourceforge.ganttproject.parser,0.20,162,326,0.13,0.66
net.sourceforge.ganttproject.plugins,0.00,21,8,0.72,0.28
net.sourceforge.ganttproject.print,0.00,4,94,0.04,0.96
net.sourceforge.ganttproject.resource,0.35,669,170,0.44,0.20
net.sourceforge.ganttproject.roles,0.40,265,36,0.48,0.13
net.sourceforge.ganttproject.search,0.33,8,69,0.23,0.89
net.sourceforge.ganttproject.shape,0.00,4,0,1.00,0.00
net.sourceforge.ganttproject.task,0.33,"4,355",762,0.52,0.14
net.sourceforge.ganttproject.task.algorithm,0.31,302,557,0.04,0.58
net.sourceforge.ganttproject.task.dependency,0.42,950,150,0.45,0.15
net.sourceforge.ganttproject.task.dependency.constraint,0.17,70,322,0.01,0.82
net.sourceforge.ganttproject.task.event,0.33,84,31,0.40,0.27
net.sourceforge.ganttproject.task.hierarchy,0.00,15,4,0.79,0.21
net.sourceforge.ganttproject.undo,0.50,74,55,0.07,0.43
net.sourceforge.ganttproject.util,0.11,88,17,0.73,0.16
net.sourceforge.ganttproject.util.collect,0.00,199,0,1.00,0.00
net.sourceforge.ganttproject.wizard,0.50,24,63,0.22,0.68
org.ganttproject,0.00,0,0,1.00,1.00

